,Unnamed: 0,Ministère (Client),CODE POSTAL,P,HPH,HCH,HPE,HCE,HH (EJP),P (EJP),CP,CHPH,CHCH,CHPE,CHCE,CHH (EJP),CP (EJP),TOTAL ,Electricité 100% verte (oui/non),Département,Région
68,,Ministères économiques et financiers,13008.0,390.0,390.0,390.0,620.0,620.0,,,62705.0,350012.0,137315.0,726683.0,224869.0,,,1501584,OUI,BOUCHES-DU-RHONE,PROVENCE-ALPES-COTE D'AZUR
69,,Ministères économiques et financiers,13002.0,350.0,350.0,350.0,350.0,350.0,,,22887.0,123477.0,45673.0,209678.0,57952.0,,,459667,OUI,BOUCHES-DU-RHONE,PROVENCE-ALPES-COTE D'AZUR
70,,Ministères économiques et financiers,83000.0,598.0,598.0,598.0,598.0,598.0,,,36837.0,204835.0,67279.0,207431.0,79536.0,,,595918,OUI,VAR,PROVENCE-ALPES-COTE D'AZUR
71,,Ministères économiques et financiers,6000.0,400.0,400.0,440.0,440.0,440.0,,,59577.0,293808.0,163212.0,284687.0,127383.0,,,928667,OUI,ALPES-MARITIMES,PROVENCE-ALPES-COTE D'AZUR
72,,Ministères économiques et financiers,6000.0,250.0,250.0,250.0,250.0,250.0,,,22489.0,129436.0,57582.0,226731.0,96754.0,,,532992,OUI,ALPES-MARITIMES,PROVENCE-ALPES-COTE D'AZUR
73,,Ministères économiques et financiers,84000.0,340.0,340.0,340.0,340.0,340.0,,,48438.0,257779.0,108630.0,388408.0,140781.0,,,944036,OUI,VAUCLUSE,PROVENCE-ALPES-COTE D'AZUR
74,,Ministères économiques et financiers,51100.0,247.0,247.0,247.0,300.0,300.0,,,39998.0,221959.0,134743.0,399265.0,215235.0,,,1011200,OUI,MARNE,CHAMPAGNE-ARDENNE
75,,Ministères économiques et financiers,37200.0,240.0,262.0,262.0,282.0,282.0,,,47751.0,285597.0,213839.0,491472.0,318762.0,,,1357421,OUI,,CENTRE
76,,Ministères économiques et financiers,35000.0,410.0,410.0,410.0,410.0,410.0,,,28838.0,185258.0,80319.0,330827.0,113942.0,,,739184,OUI,ILLE-ET-VILAINE,BRETAGNE
77,,Ministères économiques et financiers,86000.0,310.0,310.0,310.0,310.0,310.0,,,57717.0,342195.0,228715.0,579341.0,337449.0,,,1545417,OUI,VIENNE,POITOU-CHARENTES
78,,Ministères économiques et financiers,63000.0,290.0,290.0,290.0,330.0,330.0,,,40859.0,253511.0,148823.0,423675.0,216193.0,,,1083061,OUI,PUY-DE-DOME,AUVERGNE
79,,Ministères économiques et financiers,63400.0,260.0,260.0,260.0,260.0,260.0,,,30910.0,170343.0,45767.0,222886.0,56713.0,,,526619,OUI,PUY-DE-DOME,AUVERGNE
80,,Ministères économiques et financiers,69008.0,340.0,340.0,340.0,340.0,340.0,,,68630.0,415852.0,329588.0,694082.0,473562.0,,,1981714,OUI,RHONE,RHONE-ALPES
81,,Ministères économiques et financiers,69003.0,330.0,330.0,330.0,330.0,330.0,,,84882.0,522960.0,435518.0,845986.0,607797.0,,,2497143,OUI,RHONE,RHONE-ALPES
82,,Ministères économiques et financiers,69330.0,600.0,600.0,600.0,600.0,600.0,,,106536.0,605943.0,349214.0,966982.0,422474.0,,,2451149,OUI,RHONE,RHONE-ALPES
83,,Ministères économiques et financiers,69330.0,600.0,600.0,600.0,600.0,600.0,,,106536.0,605943.0,349214.0,966982.0,422474.0,,,2451149,OUI,RHONE,RHONE-ALPES
84,,Ministères économiques et financiers,69330.0,600.0,600.0,600.0,600.0,600.0,,,106536.0,605943.0,349214.0,966982.0,422474.0,,,2451149,OUI,RHONE,RHONE-ALPES
85,,Ministères économiques et financiers,69330.0,600.0,600.0,600.0,600.0,600.0,,,106536.0,605943.0,349214.0,966982.0,422474.0,,,2451149,OUI,RHONE,RHONE-ALPES
86,,Ministères économiques et financiers,78000.0,410.0,440.0,440.0,440.0,440.0,,,32048.0,198967.0,119546.0,252289.0,133673.0,,,736523,OUI,YVELINES,ILE-DE-FRANCE
87,,Ministères économiques et financiers,78100.0,370.0,370.0,370.0,370.0,370.0,,,27497.0,154129.0,72418.0,244896.0,95973.0,,,594913,OUI,YVELINES,ILE-DE-FRANCE
