,Ministère (Client),CODE POSTAL,P,HPH,HCH,HPE,HCE,HH (EJP),P (EJP),CP,CHPH,CHCH,CHPE,CHCE,CHH (EJP),CP (EJP),TOTAL ,Electricité 100% verte (oui/non),Département,Région
45,Ministère des Affaires étrangères et du Développement international,75007.0,160.0,180,180,200,200.0,0.0,0.0,15770.0,93408.0,22345.0,167540.0,41136.0,0.0,0.0,340199,OUI,PARIS,ILE-DE-FRANCE
46,Ministère des Affaires étrangères et du Développement international,75016.0,0.0,54,54,54,54.0,0.0,0.0,0.0,16253.0,5570.0,16621.0,5658.0,0.0,0.0,44102,OUI,PARIS,ILE-DE-FRANCE
47,Ministère des Affaires étrangères et du Développement international,78170.0,0.0,72,72,72,72.0,0.0,0.0,0.0,35824.0,16050.0,46796.0,21432.0,0.0,0.0,120102,OUI,YVELINES,ILE-DE-FRANCE
48,Ministère des Affaires étrangères et du Développement international,78170.0,240.0,240,240,240,240.0,0.0,0.0,0.0,73770.0,24048.0,85325.0,24750.0,0.0,0.0,207893,OUI,YVELINES,ILE-DE-FRANCE
49,Ministères économiques et financiers,59393.0,,78,78,78,78.0,,,0.0,36121.0,15125.0,15517.0,5186.0,,,71949,OUI,,NORD-PAS-DE-CALAIS
50,Ministères économiques et financiers,59800.0,72.0,72,72,72,72.0,,,0.0,44635.0,10290.0,46561.0,11021.0,,,112507,OUI,,NORD-PAS-DE-CALAIS
51,Ministères économiques et financiers,59000.0,,102,102,102,102.0,,,0.0,40989.0,3485.0,51766.0,7191.0,,,103431,OUI,NORD,NORD-PAS-DE-CALAIS
52,Ministères économiques et financiers,59800.0,158.0,158,158,158,158.0,,,25241.0,133841.0,50053.0,192843.0,64664.0,,,466642,OUI,,NORD-PAS-DE-CALAIS
53,Ministères économiques et financiers,59200.0,,108,108,108,108.0,,,0.0,86560.0,16628.0,98857.0,24564.0,,,226609,OUI,NORD,NORD-PAS-DE-CALAIS
54,Ministères économiques et financiers,59000.0,,54,54,54,54.0,,,0.0,21972.0,9552.0,11166.0,3893.0,,,46583,OUI,NORD,NORD-PAS-DE-CALAIS
55,Ministères économiques et financiers,59800.0,216.0,216,216,216,216.0,,,38539.0,207487.0,139016.0,194369.0,104804.0,,,684215,OUI,,NORD-PAS-DE-CALAIS
56,Ministères économiques et financiers,59000.0,,84,84,84,84.0,,,0.0,57913.0,10049.0,79140.0,16183.0,,,163285,OUI,NORD,NORD-PAS-DE-CALAIS
57,Ministères économiques et financiers,59290.0,,48,48,48,48.0,,,0.0,23687.0,8698.0,10125.0,2518.0,,,45028,OUI,NORD,NORD-PAS-DE-CALAIS
58,Ministères économiques et financiers,59466.0,,96,96,96,96.0,,,0.0,61324.0,13648.0,78798.0,20140.0,,,173910,OUI,,NORD-PAS-DE-CALAIS
59,Ministères économiques et financiers,59100.0,132.0,132,132,132,132.0,,,4610.0,79680.0,15431.0,104372.0,20003.0,,,224096,OUI,NORD,NORD-PAS-DE-CALAIS
60,Ministères économiques et financiers,59700.0,52.0,52,52,52,52.0,,,922.0,4902.0,1418.0,7193.0,1698.0,,,16133,OUI,NORD,NORD-PAS-DE-CALAIS
61,Ministères économiques et financiers,59041.0,,66,66,66,66.0,,,0.0,48406.0,10431.0,25190.0,6275.0,,,90302,OUI,,NORD-PAS-DE-CALAIS
62,Ministères économiques et financiers,59600.0,75.0,75,89,89,89.0,,,4893.0,36213.0,11678.0,50838.0,15317.0,,,118939,OUI,NORD,NORD-PAS-DE-CALAIS
71,Ministères économiques et financiers,59440.0,,66,66,66,66.0,,,0.0,36569.0,13153.0,49579.0,14198.0,,,113499,OUI,NORD,NORD-PAS-DE-CALAIS
85,Ministères économiques et financiers,59500.0,90.0,90,90,90,90.0,,,10921.0,55163.0,21007.0,90535.0,30666.0,,,208292,OUI,NORD,NORD-PAS-DE-CALAIS
86,Ministères économiques et financiers,62300.0,78.0,78,78,78,78.0,,,9374.0,54373.0,10709.0,78924.0,13766.0,,,167146,OUI,PAS-DE-CALAIS,NORD-PAS-DE-CALAIS
88,Ministères économiques et financiers,62110.0,42.0,42,42,42,42.0,,,0.0,21682.0,4356.0,24797.0,5492.0,,,56327,OUI,PAS-DE-CALAIS,NORD-PAS-DE-CALAIS
89,Ministères économiques et financiers,59211.0,,42,42,42,42.0,,,0.0,109.0,0.0,132.0,38.0,,,279,OUI,NORD,NORD-PAS-DE-CALAIS
90,Ministères économiques et financiers,62219.0,70.0,70,70,70,70.0,,,5552.0,42233.0,16729.0,60258.0,23004.0,,,147776,OUI,PAS-DE-CALAIS,NORD-PAS-DE-CALAIS
92,Ministères économiques et financiers,62130.0,65.0,65,65,65,65.0,,,3236.0,29457.0,13383.0,40340.0,15325.0,,,101741,OUI,PAS-DE-CALAIS,NORD-PAS-DE-CALAIS
125,Ministères économiques et financiers,62700.0,,42,42,42,42.0,,,0.0,29588.0,6678.0,37775.0,8576.0,,,82617,OUI,PAS-DE-CALAIS,NORD-PAS-DE-CALAIS
126,Ministères économiques et financiers,62190.0,,42,42,42,42.0,,,0.0,12627.0,2654.0,16061.0,3489.0,,,34831,OUI,PAS-DE-CALAIS,NORD-PAS-DE-CALAIS
134,Ministères économiques et financiers,62000.0,,48,48,48,48.0,,,0.0,19150.0,2179.0,17426.0,2523.0,,,41278,OUI,PAS-DE-CALAIS,NORD-PAS-DE-CALAIS
136,Ministères économiques et financiers,62000.0,96.0,96,96,96,96.0,,,0.0,61581.0,10529.0,69888.0,12486.0,,,154484,OUI,PAS-DE-CALAIS,NORD-PAS-DE-CALAIS
138,Ministères économiques et financiers,62223.0,48.0,48,48,48,48.0,,,0.0,41151.0,11914.0,24034.0,6229.0,,,83328,OUI,PAS-DE-CALAIS,NORD-PAS-DE-CALAIS
146,Ministères économiques et financiers,62000.0,60.0,60,60,60,60.0,,,0.0,56470.0,15262.0,68391.0,21325.0,,,161448,OUI,PAS-DE-CALAIS,NORD-PAS-DE-CALAIS
148,Ministères économiques et financiers,62200.0,70.0,70,70,70,70.0,,,7205.0,35100.0,12994.0,50744.0,17531.0,,,123574,OUI,PAS-DE-CALAIS,NORD-PAS-DE-CALAIS
149,Ministères économiques et financiers,62230.0,,132,132,132,132.0,,,0.0,36045.0,17245.0,16984.0,7048.0,,,77322,OUI,PAS-DE-CALAIS,NORD-PAS-DE-CALAIS
150,Ministères économiques et financiers,62170.0,70.0,70,70,70,70.0,,,3520.0,16881.0,8025.0,46532.0,14369.0,,,89327,OUI,PAS-DE-CALAIS,NORD-PAS-DE-CALAIS
179,Ministères économiques et financiers,59140.0,120.0,120,120,120,120.0,,,0.0,92173.0,14601.0,109059.0,19702.0,,,235535,OUI,NORD,NORD-PAS-DE-CALAIS
180,Ministères économiques et financiers,59140.0,,48,48,48,48.0,,,0.0,13674.0,2862.0,17117.0,3991.0,,,37644,OUI,NORD,NORD-PAS-DE-CALAIS
181,Ministères économiques et financiers,59140.0,48.0,48,48,48,48.0,,,0.0,32150.0,11157.0,23759.0,7971.0,,,75037,OUI,NORD,NORD-PAS-DE-CALAIS
182,Ministères économiques et financiers,62100.0,90.0,90,90,90,90.0,,,0.0,65645.0,11008.0,83876.0,16401.0,,,176930,OUI,PAS-DE-CALAIS,NORD-PAS-DE-CALAIS
183,Ministères économiques et financiers,59430.0,,54,54,54,54.0,,,0.0,23385.0,9511.0,12561.0,4113.0,,,49570,OUI,,NORD-PAS-DE-CALAIS
184,Ministères économiques et financiers,62200.0,,78,78,78,78.0,,,0.0,28525.0,13908.0,22663.0,10801.0,,,75897,OUI,PAS-DE-CALAIS,NORD-PAS-DE-CALAIS
185,Ministères économiques et financiers,80000.0,90.0,90,90,90,90.0,,,0.0,31058.0,8292.0,41499.0,12182.0,,,93031,OUI,SOMME,PICARDIE
186,Ministères économiques et financiers,80000.0,84.0,84,84,84,84.0,,,0.0,86808.0,23682.0,96122.0,28521.0,,,235133,OUI,SOMME,PICARDIE
187,Ministères économiques et financiers,80000.0,96.0,96,96,96,96.0,,,0.0,41623.0,9349.0,43575.0,9983.0,,,104530,OUI,SOMME,PICARDIE
188,Ministères économiques et financiers,60200.0,72.0,72,72,72,72.0,,,0.0,50826.0,12080.0,64537.00000000001,17019.0,,,144462,OUI,OISE,PICARDIE
189,Ministères économiques et financiers,60600.0,,54,54,54,54.0,,,0.0,39036.0,10496.0,46113.0,13797.0,,,109442,OUI,OISE,PICARDIE
200,Ministères économiques et financiers,60000.0,,48,48,48,48.0,,,0.0,22561.0,4483.0,13200.0,1359.0,,,41603,OUI,OISE,PICARDIE
208,Ministères économiques et financiers,60000.0,,42,42,42,42.0,,,0.0,11749.0,4219.0,5948.0,1513.0,,,23429,OUI,OISE,PICARDIE
216,Ministères économiques et financiers,60000.0,,42,42,42,42.0,,,0.0,24010.0,4098.0,12010.0,1773.0,,,41891,OUI,OISE,PICARDIE
224,Ministères économiques et financiers,60000.0,108.0,108,108,108,108.0,,,0.0,122460.0,26724.0,141609.0,32433.0,,,323226,OUI,OISE,PICARDIE
232,Ministères économiques et financiers,60100.0,90.0,90,90,90,90.0,,,0.0,30895.0,7257.0,39610.0,9971.0,,,87733,OUI,OISE,PICARDIE
233,Ministères économiques et financiers,60300.0,60.0,60,60,60,60.0,,,0.0,48288.0,11479.0,57165.0,14170.0,,,131102,OUI,OISE,PICARDIE
244,Ministères économiques et financiers,60110.0,42.0,42,42,42,42.0,,,1492.0,28611.0,7429.0,36396.0,10191.0,,,84119,OUI,OISE,PICARDIE
249,Ministères économiques et financiers,76130.0,110.0,110,110,110,110.0,,,17970.0,103095.0,76845.0,156715.0,95113.0,,,449738,OUI,SEINE-MARITIME,HAUTE-NORMANDIE
250,Ministères économiques et financiers,76100.0,120.0,120,120,120,120.0,,,13277.0,79059.0,49981.0,53010.0,26178.0,,,221505,OUI,,HAUTE-NORMANDIE
251,Ministères économiques et financiers,76270.0,,48,48,48,48.0,,,0.0,17508.0,4802.0,21981.0,5904.0,,,50195,OUI,SEINE-MARITIME,HAUTE-NORMANDIE
274,Ministères économiques et financiers,76200.0,66.0,66,66,66,66.0,,,0.0,47430.0,11073.0,57498.0,13372.0,,,129373,OUI,SEINE-MARITIME,HAUTE-NORMANDIE
275,Ministères économiques et financiers,76000.0,54.0,54,54,54,54.0,,,0.0,58553.0,18771.0,43276.0,13427.0,,,134027,OUI,SEINE-MARITIME,HAUTE-NORMANDIE
276,Ministères économiques et financiers,76000.0,,144,144,144,144.0,,,0.0,94874.0,15784.0,100447.0,19981.0,,,231086,OUI,SEINE-MARITIME,HAUTE-NORMANDIE
277,Ministères économiques et financiers,76037.0,60.0,60,60,60,60.0,,,0.0,50177.0,13375.0,58656.0,16282.0,,,138490,OUI,,HAUTE-NORMANDIE
278,Ministères économiques et financiers,76000.0,,42,42,42,42.0,,,0.0,11398.0,5914.0,9814.0,3759.0,,,30885,OUI,SEINE-MARITIME,HAUTE-NORMANDIE
279,Ministères économiques et financiers,76100.0,205.0,205,205,205,205.0,,,29256.0,154418.0,92129.0,242017.0,125110.0,,,642930,OUI,,HAUTE-NORMANDIE
280,Ministères économiques et financiers,76000.0,,48,48,48,48.0,,,0.0,9850.0,4110.0,7892.0,2270.0,,,24122,OUI,SEINE-MARITIME,HAUTE-NORMANDIE
281,Ministères économiques et financiers,76000.0,54.0,54,54,54,54.0,,,0.0,26205.0,10998.0,17736.0,6814.0,,,61753,OUI,SEINE-MARITIME,HAUTE-NORMANDIE
282,Ministères économiques et financiers,76000.0,,42,42,42,42.0,,,0.0,3877.0,751.0,4861.0,1021.0,,,10510,OUI,SEINE-MARITIME,HAUTE-NORMANDIE
283,Ministères économiques et financiers,27000.0,132.0,132,132,132,132.0,,,0.0,114772.0,27359.0,128064.0,31644.0,,,301839,OUI,EURE,HAUTE-NORMANDIE
284,Ministères économiques et financiers,27307.0,48.0,48,48,48,48.0,,,0.0,39602.0,13944.0,41822.0,13348.0,,,108716,OUI,,HAUTE-NORMANDIE
285,Ministères économiques et financiers,27500.0,50.0,50,50,50,50.0,,,0.0,36180.0,16349.0,34869.0,14319.0,,,101717,OUI,EURE,HAUTE-NORMANDIE
304,Ministères économiques et financiers,27000.0,60.0,60,60,60,60.0,,,8446.0,28637.0,18477.0,22429.0,13233.0,,,91222,OUI,EURE,HAUTE-NORMANDIE
305,Ministères économiques et financiers,27400.0,54.0,54,54,54,54.0,,,0.0,37820.0,6786.0,45276.0,8902.0,,,98784,OUI,EURE,HAUTE-NORMANDIE
325,Ministères économiques et financiers,,,42,42,42,42.0,,,0.0,15662.0,3069.0,11397.0,2634.0,,,32762,OUI,,HAUTE-NORMANDIE
326,Ministères économiques et financiers,76600.0,167.0,167,200,200,200.0,,,17291.0,92759.0,26497.0,136642.0,34512.0,,,307701,OUI,SEINE-MARITIME,HAUTE-NORMANDIE
327,Ministères économiques et financiers,76700.0,70.0,70,70,70,70.0,,,11833.0,59231.0,47725.0,75120.0,52272.0,,,246181,OUI,SEINE-MARITIME,HAUTE-NORMANDIE
332,Ministères économiques et financiers,76600.0,60.0,60,60,60,60.0,,,6081.0,37228.0,13088.0,52858.0,16643.0,,,125898,OUI,SEINE-MARITIME,HAUTE-NORMANDIE
333,Ministères économiques et financiers,76600.0,,42,42,42,42.0,,,0.0,15001.0,3339.0,18464.0,4799.0,,,41603,OUI,SEINE-MARITIME,HAUTE-NORMANDIE
334,Ministères économiques et financiers,14360.0,,42,42,42,42.0,,,0.0,24728.0,6396.0,28943.0,7668.0,,,67735,OUI,CALVADOS,BASSE-NORMANDIE
335,Ministères économiques et financiers,14000.0,144.0,144,144,144,144.0,,,12265.0,71015.0,45248.0,118970.0,65227.99999999999,,,312726,OUI,CALVADOS,BASSE-NORMANDIE
336,Ministères économiques et financiers,14400.0,70.0,70,70,70,70.0,,,6797.0,37572.0,14003.0,47873.0,18062.0,,,124307,OUI,CALVADOS,BASSE-NORMANDIE
368,Ministères économiques et financiers,14000.0,84.0,84,84,84,84.0,,,0.0,69314.0,21038.0,75138.0,21138.0,,,186628,OUI,CALVADOS,BASSE-NORMANDIE
369,Ministères économiques et financiers,14000.0,,102,102,102,102.0,,,0.0,0.0,0.0,0.0,0.0,,,0,OUI,CALVADOS,BASSE-NORMANDIE
370,Ministères économiques et financiers,14000.0,,60,60,60,60.0,,,0.0,26263.0,8853.0,34032.0,11532.0,,,80680,OUI,CALVADOS,BASSE-NORMANDIE
371,Ministères économiques et financiers,14000.0,,132,132,132,132.0,,,0.0,85538.0,19244.0,103568.0,25367.0,,,233717,OUI,CALVADOS,BASSE-NORMANDIE
372,Ministères économiques et financiers,14700.0,,48,48,48,48.0,,,0.0,13573.0,2285.0,16195.0,3276.0,,,35329,OUI,CALVADOS,BASSE-NORMANDIE
393,Ministères économiques et financiers,50400.0,,42,42,42,42.0,,,0.0,23591.0,4139.0,29484.0,5586.0,,,62800,OUI,MANCHE,BASSE-NORMANDIE
397,Ministères économiques et financiers,50000.0,105.0,105,105,105,105.0,,,15990.0,77398.0,31003.0,113864.0,43136.0,,,281391,OUI,MANCHE,BASSE-NORMANDIE
402,Ministères économiques et financiers,50300.0,48.0,48,48,48,48.0,,,0.0,36897.0,7810.0,45405.0,10329.0,,,100441,OUI,MANCHE,BASSE-NORMANDIE
415,Ministères économiques et financiers,50100.0,,78,78,78,78.0,,,0.0,35818.0,7723.0,40340.0,9642.0,,,93523,OUI,MANCHE,BASSE-NORMANDIE
416,Ministères économiques et financiers,50200.0,,60,60,60,60.0,,,0.0,33751.0,10440.0,34208.0,10150.0,,,88549,OUI,MANCHE,BASSE-NORMANDIE
434,Ministères économiques et financiers,61300.0,48.0,48,48,48,48.0,,,4416.0,25969.0,32214.0,18607.0,13391.0,,,94597,OUI,ORNE,BASSE-NORMANDIE
443,Ministères économiques et financiers,61000.0,180.0,180,180,180,180.0,,,30736.0,149020.0,61480.0,206153.0,81016.0,,,528405,OUI,ORNE,BASSE-NORMANDIE
446,Ministères économiques et financiers,61400.0,60.0,60,60,60,60.0,,,0.0,29795.0,6666.0,35227.0,9051.0,,,80739,OUI,ORNE,BASSE-NORMANDIE
463,Ministères économiques et financiers,61000.0,,42,42,42,42.0,,,0.0,24422.0,5380.0,28510.0,7017.0,,,65329,OUI,ORNE,BASSE-NORMANDIE
466,Ministères économiques et financiers,2200.0,54.0,54,54,54,54.0,,,2162.0,42437.0,9980.0,52745.0,13642.0,,,120966,OUI,AISNE,PICARDIE
492,Ministères économiques et financiers,2000.0,48.0,48,48,48,48.0,,,1886.0,40087.0,11826.0,43447.0,11160.0,,,108406,OUI,AISNE,PICARDIE
518,Ministères économiques et financiers,2120.0,,42,42,42,42.0,,,0.0,23954.0,4684.0,12708.0,3172.0,,,44518,OUI,AISNE,PICARDIE
544,Ministères économiques et financiers,2500.0,,42,42,42,42.0,,,0.0,28305.0,9433.0,33084.0,10681.0,,,81503,OUI,AISNE,PICARDIE
562,Ministères économiques et financiers,2000.0,,78,78,78,78.0,,,0.0,31653.0,4897.0,47236.0,8449.0,,,92235,OUI,AISNE,PICARDIE
588,Ministères économiques et financiers,2000.0,120.0,120,120,120,120.0,,,0.0,119221.0,30246.0,130877.0,35262.0,,,315606,OUI,AISNE,PICARDIE
614,Ministères économiques et financiers,2100.0,60.0,60,60,60,60.0,,,4259.0,43535.0,10521.0,56059.0,13184.0,,,127558,OUI,AISNE,PICARDIE
625,Ministères économiques et financiers,2300.0,,42,42,42,42.0,,,0.0,16299.0,4384.0,23406.0,6849.0,,,50938,OUI,AISNE,PICARDIE
656,Ministères économiques et financiers,8000.0,72.0,72,72,72,72.0,,,3536.0,67765.0,19126.0,43356.0,10612.0,,,144395,OUI,ARDENNES,CHAMPAGNE-ARDENNE
662,Ministères économiques et financiers,8000.0,60.0,60,60,60,60.0,,,0.0,51973.0,10099.0,63440.0,13159.0,,,138671,OUI,ARDENNES,CHAMPAGNE-ARDENNE
668,Ministères économiques et financiers,51100.0,230.0,230,230,230,230.0,,,30632.0,157261.0,45626.0,235897.0,61346.0,,,530762,OUI,MARNE,CHAMPAGNE-ARDENNE
669,Ministères économiques et financiers,51200.0,75.0,75,75,75,75.0,,,10311.0,51716.0,17672.0,73265.0,22916.0,,,175880,OUI,MARNE,CHAMPAGNE-ARDENNE
670,Ministères économiques et financiers,51000.0,190.0,190,190,190,190.0,,,16103.000000000002,75653.0,37372.0,92142.0,36820.0,,,258090,OUI,MARNE,CHAMPAGNE-ARDENNE
671,Ministères économiques et financiers,51100.0,66.0,66,66,66,66.0,,,0.0,50664.0,13031.0,52735.0,15591.0,,,132021,OUI,MARNE,CHAMPAGNE-ARDENNE
672,Ministères économiques et financiers,51000.0,146.0,146,146,146,146.0,,,39652.0,202098.0,138656.0,199242.0,92459.0,,,672107,OUI,MARNE,CHAMPAGNE-ARDENNE
673,Ministères économiques et financiers,10000.0,,90,90,90,90.0,,,0.0,64941.99999999999,17051.0,74146.0,19642.0,,,175781,OUI,AUBE,CHAMPAGNE-ARDENNE
674,Ministères économiques et financiers,10000.0,,48,48,48,48.0,,,0.0,13959.0,3670.0,17585.0,4325.0,,,39539,OUI,AUBE,CHAMPAGNE-ARDENNE
675,Ministères économiques et financiers,10600.0,,48,48,48,48.0,,,0.0,15862.0,7504.0,9979.0,4483.0,,,37828,OUI,AUBE,CHAMPAGNE-ARDENNE
681,Ministères économiques et financiers,54000.0,220.0,220,220,220,220.0,,,30664.0,164903.0,49394.0,227578.0,62159.0,,,534698,OUI,MEURTHE-ET-MOSELLE,LORRAINE
682,Ministères économiques et financiers,54042.0,72.0,72,72,72,72.0,,,5548.0,39576.0,11823.0,58917.0,15491.0,,,131355,OUI,,LORRAINE
683,Ministères économiques et financiers,54200.0,54.0,54,54,54,54.0,,,1430.0,30885.0,7338.0,43528.0,10497.0,,,93678,OUI,MEURTHE-ET-MOSELLE,LORRAINE
703,Ministères économiques et financiers,54000.0,102.0,102,102,102,102.0,,,7911.0,49916.0,27289.0,27109.0,10257.0,,,122482,OUI,MEURTHE-ET-MOSELLE,LORRAINE
704,Ministères économiques et financiers,54300.0,48.0,48,48,48,48.0,,,0.0,41566.0,11503.0,48351.0,15352.0,,,116772,OUI,MEURTHE-ET-MOSELLE,LORRAINE
722,Ministères économiques et financiers,54000.0,78.0,78,78,78,78.0,,,0.0,35881.0,11567.0,23111.0,7203.0,,,77762,OUI,MEURTHE-ET-MOSELLE,LORRAINE
723,Ministères économiques et financiers,52000.0,42.0,42,42,42,42.0,,,0.0,20913.0,5980.0,20147.0,5338.0,,,52378,OUI,HAUTE-MARNE,CHAMPAGNE-ARDENNE
738,Ministères économiques et financiers,55100.0,42.0,42,42,42,42.0,,,0.0,43157.0,12378.0,48824.0,14347.0,,,118706,OUI,MEUSE,LORRAINE
764,Ministères économiques et financiers,55000.0,42.0,42,42,42,42.0,,,6870.0,35675.0,13642.0,46248.0,16539.0,,,118974,OUI,MEUSE,LORRAINE
794,Ministères économiques et financiers,52000.0,,90,90,90,90.0,,,0.0,80799.0,19322.0,87802.0,22584.0,,,210507,OUI,HAUTE-MARNE,CHAMPAGNE-ARDENNE
809,Ministères économiques et financiers,55000.0,,72,72,72,72.0,,,0.0,30986.0,8179.0,33424.0,8117.000000000001,,,80706,OUI,MEUSE,LORRAINE
839,Ministères économiques et financiers,52100.0,,54,54,54,54.0,,,0.0,31751.0,6952.0,13665.0,2459.0,,,54827,OUI,HAUTE-MARNE,CHAMPAGNE-ARDENNE
850,Ministères économiques et financiers,88000.0,79.0,79,79,79,79.0,,,10917.0,53469.0,20290.0,62376.0,22427.0,,,169479,OUI,VOSGES,LORRAINE
859,Ministères économiques et financiers,88200.0,44.0,44,44,44,44.0,,,4580.0,25346.0,10917.0,35474.0,14282.0,,,90599,OUI,VOSGES,LORRAINE
864,Ministères économiques et financiers,88300.0,,54,54,54,54.0,,,0.0,14863.0,3449.0,18758.0,4385.0,,,41455,OUI,VOSGES,LORRAINE
889,Ministères économiques et financiers,88100.0,120.0,120,120,120,120.0,,,0.0,24210.0,7060.0,29971.0,9771.0,,,71012,OUI,VOSGES,LORRAINE
897,Ministères économiques et financiers,57400.0,38.0,38,38,38,38.0,,,3546.0,23957.0,3696.0,25762.0,9796.0,,,66757,OUI,MOSELLE,LORRAINE
907,Ministères économiques et financiers,57200.0,,60,60,60,60.0,,,0.0,30671.0,6487.0,39968.0,9341.0,,,86467,OUI,MOSELLE,LORRAINE
915,Ministères économiques et financiers,54150.0,,54,54,54,54.0,,,0.0,33231.0,14693.0,40541.0,18948.0,,,107413,OUI,MEURTHE-ET-MOSELLE,LORRAINE
926,Ministères économiques et financiers,54400.0,45.0,45,45,45,45.0,,,4898.0,24833.0,9689.0,35650.0,13757.0,,,88827,OUI,MEURTHE-ET-MOSELLE,LORRAINE
928,Ministères économiques et financiers,68100.0,130.0,130,130,130,130.0,,,16820.0,86980.0,52422.0,81963.0,36324.0,,,274509,OUI,HAUT-RHIN,ALSACE
929,Ministères économiques et financiers,68100.0,66.0,66,66,66,66.0,,,8108.000000000001,40018.0,11405.0,65007.99999999999,18818.0,,,143357,OUI,HAUT-RHIN,ALSACE
930,Ministères économiques et financiers,67600.0,,48,48,48,48.0,,,0.0,30858.0,5869.0,36071.0,7132.0,,,79930,OUI,BAS-RHIN,ALSACE
940,Ministères économiques et financiers,68097.0,66.0,66,66,66,66.0,,,1837.0,39192.0,11615.0,44392.0,11398.0,,,108434,OUI,,ALSACE
941,Ministères économiques et financiers,68100.0,,48,48,48,48.0,,,0.0,11530.0,2124.0,15003.0,3027.0,,,31684,OUI,HAUT-RHIN,ALSACE
942,Ministères économiques et financiers,68130.0,,42,42,42,42.0,,,0.0,21677.0,5421.0,26154.0,7161.0,,,60413,OUI,HAUT-RHIN,ALSACE
959,Ministères économiques et financiers,70000.0,45.0,45,45,45,45.0,,,5558.0,27300.0,14131.0,36469.0,17398.0,,,100856,OUI,HAUTE-SAONE,FRANCHE-COMTE
1001,Ministères économiques et financiers,70000.0,48.0,48,48,54,54.0,,,0.0,25533.0,10896.0,35614.0,16190.999999999998,,,88234,OUI,HAUTE-SAONE,FRANCHE-COMTE
1043,Ministères économiques et financiers,25200.0,60.0,60,60,60,60.0,,,0.0,57059.0,12965.0,60446.0,13742.0,,,144212,OUI,DOUBS,FRANCHE-COMTE
1046,Ministères économiques et financiers,70000.0,,42,42,42,42.0,,,0.0,23106.0,6190.0,16636.0,4309.0,,,50241,OUI,HAUTE-SAONE,FRANCHE-COMTE
1088,Ministères économiques et financiers,90000.0,,60,60,60,60.0,,,0.0,49020.0,13613.0,47005.0,13075.0,,,122713,OUI,TERRITOIRE DE BELFORT,FRANCHE-COMTE
1089,Ministères économiques et financiers,90100.0,,42,42,42,42.0,,,0.0,11785.0,4751.0,10134.0,3681.0,,,30351,OUI,TERRITOIRE DE BELFORT,FRANCHE-COMTE
1108,Ministères économiques et financiers,39800.0,,42,42,42,42.0,,,0.0,22480.0,7427.0,26154.0,10863.0,,,66924,OUI,JURA,FRANCHE-COMTE
1135,Ministères économiques et financiers,25000.0,84.0,84,84,84,84.0,,,0.0,82642.0,25324.0,83535.0,24579.0,,,216080,OUI,DOUBS,FRANCHE-COMTE
1136,Ministères économiques et financiers,25000.0,96.0,96,96,96,96.0,,,0.0,60084.0,15485.0,66368.0,17576.0,,,159513,OUI,DOUBS,FRANCHE-COMTE
1137,Ministères économiques et financiers,25300.0,96.0,116,116,116,116.0,,,4067.0,18061.0,84785.0,25983.0,40727.0,,,173623,OUI,DOUBS,FRANCHE-COMTE
1150,Ministères économiques et financiers,39200.0,,42,42,42,42.0,,,0.0,21508.0,6258.0,19478.0,5795.0,,,53039,OUI,JURA,FRANCHE-COMTE
1157,Ministères économiques et financiers,39000.0,,42,42,42,42.0,,,0.0,32533.0,4868.0,15209.0,4180.0,,,56790,OUI,JURA,FRANCHE-COMTE
1158,Ministères économiques et financiers,25000.0,42.0,42,42,42,42.0,,,0.0,18506.0,8893.0,12056.0,42438.0,,,81893,OUI,DOUBS,FRANCHE-COMTE
1159,Ministères économiques et financiers,39000.0,44.0,44,44,44,44.0,,,5215.0,24078.0,9509.0,33066.0,12353.0,,,84221,OUI,JURA,FRANCHE-COMTE
1160,Ministères économiques et financiers,25480.0,66.0,66,66,66,66.0,,,0.0,55775.0,25783.0,22996.0,7562.0,,,112116,OUI,DOUBS,FRANCHE-COMTE
1163,Ministères économiques et financiers,39000.0,78.0,78,78,78,78.0,,,7692.0,42904.0,13192.0,57843.0,15899.0,,,137530,OUI,JURA,FRANCHE-COMTE
1164,Ministères économiques et financiers,25000.0,,54,54,54,54.0,,,0.0,30484.0,10917.0,36645.0,13085.0,,,91131,OUI,DOUBS,FRANCHE-COMTE
1165,Ministères économiques et financiers,25000.0,,72,72,72,72.0,,,0.0,18685.0,5081.0,29997.0,7732.0,,,61495,OUI,DOUBS,FRANCHE-COMTE
1166,Ministères économiques et financiers,25000.0,,120,120,120,120.0,,,0.0,49949.0,13023.0,63610.0,18235.0,,,144817,OUI,DOUBS,FRANCHE-COMTE
1167,Ministères économiques et financiers,75010.0,54.0,54,54,54,54.0,,,0.0,52984.0,15059.0,58449.0,16795.0,,,143287,OUI,PARIS,ILE-DE-FRANCE
1168,Ministères économiques et financiers,75010.0,,108,108,108,108.0,,,0.0,71392.0,16641.0,84955.0,19166.0,,,192154,OUI,PARIS,ILE-DE-FRANCE
1169,Ministères économiques et financiers,75003.0,,204,204,204,204.0,,,0.0,64631.0,15219.0,72303.0,18002.0,,,170155,OUI,PARIS,ILE-DE-FRANCE
1170,Ministères économiques et financiers,75001.0,60.0,60,60,60,60.0,,,0.0,40608.0,10157.0,48047.0,14102.0,,,112914,OUI,PARIS,ILE-DE-FRANCE
