,CHCE,CHCH,CHH (EJP),CHPE,CHPH,CODE POSTAL,CP,CP (EJP),Département,Electricité 100% verte (oui/non),HCE,HCH,HH (EJP),HPE,HPH,Ministère (Client),P,P (EJP),Région,TOTAL,Unnamed: 0,Unnamed: 0.1
73,1359.0,4483.0,,13200.0,22561.0,60000.0,0.0,,OISE,OUI,48.0,48.0,,48.0,48.0,Ministères économiques et financiers,,,PICARDIE,41603,200,
74,1513.0,4219.0,,5948.0,11749.0,60000.0,0.0,,OISE,OUI,42.0,42.0,,42.0,42.0,Ministères économiques et financiers,,,PICARDIE,23429,208,
75,1773.0,4098.0,,12010.0,24010.0,60000.0,0.0,,OISE,OUI,42.0,42.0,,42.0,42.0,Ministères économiques et financiers,,,PICARDIE,41891,216,
76,32433.0,26724.0,,141609.0,122460.0,60000.0,0.0,,OISE,OUI,108.0,108.0,,108.0,108.0,Ministères économiques et financiers,108.0,,PICARDIE,323226,224,
77,9971.0,7257.0,,39610.0,30895.0,60100.0,0.0,,OISE,OUI,90.0,90.0,,90.0,90.0,Ministères économiques et financiers,90.0,,PICARDIE,87733,232,
78,14170.0,11479.0,,57165.0,48288.0,60300.0,0.0,,OISE,OUI,60.0,60.0,,60.0,60.0,Ministères économiques et financiers,60.0,,PICARDIE,131102,233,
79,10191.0,7429.0,,36396.0,28611.0,60110.0,1492.0,,OISE,OUI,42.0,42.0,,42.0,42.0,Ministères économiques et financiers,42.0,,PICARDIE,84119,244,
80,95113.0,76845.0,,156715.0,103095.0,76130.0,17970.0,,SEINE-MARITIME,OUI,110.0,110.0,,110.0,110.0,Ministères économiques et financiers,110.0,,HAUTE-NORMANDIE,449738,249,
81,26178.0,49981.0,,53010.0,79059.0,76100.0,13277.0,,,OUI,120.0,120.0,,120.0,120.0,Ministères économiques et financiers,120.0,,HAUTE-NORMANDIE,221505,250,
82,5904.0,4802.0,,21981.0,17508.0,76270.0,0.0,,SEINE-MARITIME,OUI,48.0,48.0,,48.0,48.0,Ministères économiques et financiers,,,HAUTE-NORMANDIE,50195,251,
83,13372.0,11073.0,,57498.0,47430.0,76200.0,0.0,,SEINE-MARITIME,OUI,66.0,66.0,,66.0,66.0,Ministères économiques et financiers,66.0,,HAUTE-NORMANDIE,129373,274,
84,13427.0,18771.0,,43276.0,58553.0,76000.0,0.0,,SEINE-MARITIME,OUI,54.0,54.0,,54.0,54.0,Ministères économiques et financiers,54.0,,HAUTE-NORMANDIE,134027,275,
85,19981.0,15784.0,,100447.0,94874.0,76000.0,0.0,,SEINE-MARITIME,OUI,144.0,144.0,,144.0,144.0,Ministères économiques et financiers,,,HAUTE-NORMANDIE,231086,276,
86,16282.0,13375.0,,58656.0,50177.0,76037.0,0.0,,,OUI,60.0,60.0,,60.0,60.0,Ministères économiques et financiers,60.0,,HAUTE-NORMANDIE,138490,277,
